Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3359622,4/17/16,4/12/16,3698768,932089536,3698768,252,418,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359622,SRX1691637,4_2,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385062,SAMN04622519,simple,197911,Influenzavirus A,4_2,,,,,,,no,,,,,,SRA409446,,public,DE57565968DB32EBEC4C6DD4AAF5504A,088790EDCC258D23135753258AAB014B
SRR3359623,4/17/16,4/12/16,3143367,792128484,3143367,252,351,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359623,SRX1691638,4_5,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385075,SAMN04622520,simple,197911,Influenzavirus A,4_5,,,,,,,no,,,,,,SRA409446,,public,922F31E732F3F9AD624D5D7E849733F8,D8BFCD6403A173483017BC1744A9DCB9
SRR3359624,4/17/16,4/12/16,4437433,1118233116,4437433,252,496,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359624,SRX1691639,5_02,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385074,SAMN04622521,simple,197911,Influenzavirus A,5_02,,,,,,,no,,,,,,SRA409446,,public,FD1D0615CEB383304B3E63CD27162131,B207D2FACDA6D89B360F75214DECD5B9
SRR3359625,4/17/16,4/12/16,3425234,863158968,3425234,252,381,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359625,SRX1691640,5_05,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385073,SAMN04622522,simple,197911,Influenzavirus A,5_05,,,,,,,no,,,,,,SRA409446,,public,00D112B3657D9BF0035F4ACC3062E96A,FE644F35A89C3BEE5FE72AE0FF839A7E
SRR3359626,4/17/16,4/12/16,4204361,1059498972,4204361,252,470,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359626,SRX1691641,5_1,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385072,SAMN04622523,simple,197911,Influenzavirus A,5_1,,,,,,,no,,,,,,SRA409446,,public,0479C4CF302F18A5BD211789C97C4112,EDDB371ACE5CD461E382DF5209D999BB
SRR3359627,4/17/16,4/12/16,3516167,886074084,3516167,252,400,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359627,SRX1691642,5_2,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385071,SAMN04622524,simple,197911,Influenzavirus A,5_2,,,,,,,no,,,,,,SRA409446,,public,3E19C10382B54CDA1A76106E2FE26E62,DA49230722582C3EBCFD8D0D8882CB0E
SRR3359628,4/17/16,4/12/16,4127134,1040037768,4127134,252,460,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359628,SRX1691643,5_5,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385070,SAMN04622525,simple,197911,Influenzavirus A,5_5,,,,,,,no,,,,,,SRA409446,,public,AFBD8966F4BBAD8CFE43DE577C745416,A4D5760E1023932EB77393EFD4EB3C71
SRR3359629,4/17/16,4/12/16,5699631,1436307012,5699631,252,630,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359629,SRX1691644,WSN33_Plasmid_control,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385069,SAMN04622526,simple,197911,Influenzavirus A,Plasmid_control,,,,,,,no,,,,,,SRA409446,,public,2B0695101CD26B2DBD77099E10C24C12,90F82DEE900A3154C3407CE6CE2AB52B
SRR3359630,4/17/16,4/12/16,5175805,1304302860,5175805,252,568,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359630,SRX1691645,WT1,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385068,SAMN04622527,simple,197911,Influenzavirus A,WT1,,,,,,,no,,,,,,SRA409446,,public,89AC94811FF399CB9E1D59DC2864F268,88DCDD1AACBEF2AD7E95325D4D3A6C10
SRR3359631,4/17/16,4/12/16,3572764,900336528,3572764,252,393,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR3359631,SRX1691646,WT2,WGS,RT-PCR,VIRAL RNA,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073137,PRJNA317621,,317621,SRS1385067,SAMN04622528,simple,197911,Influenzavirus A,WT2,,,,,,,no,,,,,,SRA409446,,public,85E9487F3293D33EB7C98D1B64B050EB,0C07C69AC3E5B3E96E7240E38DDC95E6
