"coverage","concat.pos","chr","chr.pos","Id"
7,1,"HA",1,"Covaris_5"
12,2,"HA",2,"Covaris_5"
17,3,"HA",3,"Covaris_5"
18,4,"HA",4,"Covaris_5"
20,5,"HA",5,"Covaris_5"
21,6,"HA",6,"Covaris_5"
37,7,"HA",7,"Covaris_5"
434,8,"HA",8,"Covaris_5"
578,9,"HA",9,"Covaris_5"
688,10,"HA",10,"Covaris_5"
813,11,"HA",11,"Covaris_5"
897,12,"HA",12,"Covaris_5"
919,13,"HA",13,"Covaris_5"
929,14,"HA",14,"Covaris_5"
945,15,"HA",15,"Covaris_5"
963,16,"HA",16,"Covaris_5"
983,17,"HA",17,"Covaris_5"
994,18,"HA",18,"Covaris_5"
992,19,"HA",19,"Covaris_5"
1002,20,"HA",20,"Covaris_5"
1021,21,"HA",21,"Covaris_5"
1027,22,"HA",22,"Covaris_5"
1027,23,"HA",23,"Covaris_5"
1010,24,"HA",24,"Covaris_5"
1036,25,"HA",25,"Covaris_5"
1049,26,"HA",26,"Covaris_5"
1048,27,"HA",27,"Covaris_5"
1060,28,"HA",28,"Covaris_5"
1052,29,"HA",29,"Covaris_5"
1084,30,"HA",30,"Covaris_5"
1084,31,"HA",31,"Covaris_5"
1085,32,"HA",32,"Covaris_5"
1083,33,"HA",33,"Covaris_5"
1074,34,"HA",34,"Covaris_5"
1094,35,"HA",35,"Covaris_5"
1103,36,"HA",36,"Covaris_5"
1106,37,"HA",37,"Covaris_5"
1121,38,"HA",38,"Covaris_5"
1095,39,"HA",39,"Covaris_5"
1099,40,"HA",40,"Covaris_5"
1138,41,"HA",41,"Covaris_5"
1135,42,"HA",42,"Covaris_5"
1086,43,"HA",43,"Covaris_5"
1152,44,"HA",44,"Covaris_5"
1136,45,"HA",45,"Covaris_5"
1135,46,"HA",46,"Covaris_5"
1138,47,"HA",47,"Covaris_5"
1155,48,"HA",48,"Covaris_5"
1143,49,"HA",49,"Covaris_5"
1181,50,"HA",50,"Covaris_5"
1159,51,"HA",51,"Covaris_5"
1155,52,"HA",52,"Covaris_5"
1195,53,"HA",53,"Covaris_5"
1191,54,"HA",54,"Covaris_5"
1196,55,"HA",55,"Covaris_5"
1210,56,"HA",56,"Covaris_5"
1226,57,"HA",57,"Covaris_5"
1225,58,"HA",58,"Covaris_5"
1235,59,"HA",59,"Covaris_5"
1220,60,"HA",60,"Covaris_5"
1244,61,"HA",61,"Covaris_5"
1239,62,"HA",62,"Covaris_5"
1225,63,"HA",63,"Covaris_5"
1248,64,"HA",64,"Covaris_5"
1252,65,"HA",65,"Covaris_5"
1288,66,"HA",66,"Covaris_5"
1275,67,"HA",67,"Covaris_5"
1254,68,"HA",68,"Covaris_5"
1288,69,"HA",69,"Covaris_5"
1296,70,"HA",70,"Covaris_5"
1320,71,"HA",71,"Covaris_5"
1336,72,"HA",72,"Covaris_5"
1333,73,"HA",73,"Covaris_5"
1329,74,"HA",74,"Covaris_5"
1342,75,"HA",75,"Covaris_5"
1334,76,"HA",76,"Covaris_5"
1368,77,"HA",77,"Covaris_5"
1397,78,"HA",78,"Covaris_5"
1400,79,"HA",79,"Covaris_5"
1389,80,"HA",80,"Covaris_5"
1398,81,"HA",81,"Covaris_5"
1411,82,"HA",82,"Covaris_5"
1425,83,"HA",83,"Covaris_5"
1438,84,"HA",84,"Covaris_5"
1433,85,"HA",85,"Covaris_5"
1450,86,"HA",86,"Covaris_5"
1450,87,"HA",87,"Covaris_5"
1478,88,"HA",88,"Covaris_5"
1541,89,"HA",89,"Covaris_5"
1513,90,"HA",90,"Covaris_5"
1534,91,"HA",91,"Covaris_5"
1554,92,"HA",92,"Covaris_5"
1582,93,"HA",93,"Covaris_5"
1589,94,"HA",94,"Covaris_5"
1585,95,"HA",95,"Covaris_5"
1621,96,"HA",96,"Covaris_5"
1591,97,"HA",97,"Covaris_5"
1665,98,"HA",98,"Covaris_5"
1701,99,"HA",99,"Covaris_5"
1669,100,"HA",100,"Covaris_5"
1696,101,"HA",101,"Covaris_5"
1683,102,"HA",102,"Covaris_5"
1694,103,"HA",103,"Covaris_5"
1795,104,"HA",104,"Covaris_5"
1731,105,"HA",105,"Covaris_5"
1815,106,"HA",106,"Covaris_5"
1777,107,"HA",107,"Covaris_5"
1811,108,"HA",108,"Covaris_5"
1836,109,"HA",109,"Covaris_5"
1892,110,"HA",110,"Covaris_5"
1992,111,"HA",111,"Covaris_5"
1939,112,"HA",112,"Covaris_5"
1981,113,"HA",113,"Covaris_5"
2066,114,"HA",114,"Covaris_5"
2045,115,"HA",115,"Covaris_5"
2039,116,"HA",116,"Covaris_5"
1975,117,"HA",117,"Covaris_5"
2008,118,"HA",118,"Covaris_5"
2172,119,"HA",119,"Covaris_5"
2050,120,"HA",120,"Covaris_5"
2258,121,"HA",121,"Covaris_5"
2265,122,"HA",122,"Covaris_5"
2292,123,"HA",123,"Covaris_5"
2277,124,"HA",124,"Covaris_5"
2320,125,"HA",125,"Covaris_5"
2302,126,"HA",126,"Covaris_5"
2396,127,"HA",127,"Covaris_5"
2423,128,"HA",128,"Covaris_5"
2480,129,"HA",129,"Covaris_5"
2494,130,"HA",130,"Covaris_5"
2506,131,"HA",131,"Covaris_5"
2563,132,"HA",132,"Covaris_5"
2573,133,"HA",133,"Covaris_5"
2604,134,"HA",134,"Covaris_5"
2624,135,"HA",135,"Covaris_5"
2703,136,"HA",136,"Covaris_5"
2749,137,"HA",137,"Covaris_5"
2765,138,"HA",138,"Covaris_5"
2767,139,"HA",139,"Covaris_5"
2809,140,"HA",140,"Covaris_5"
2844,141,"HA",141,"Covaris_5"
2828,142,"HA",142,"Covaris_5"
2915,143,"HA",143,"Covaris_5"
2993,144,"HA",144,"Covaris_5"
3025,145,"HA",145,"Covaris_5"
3077,146,"HA",146,"Covaris_5"
3158,147,"HA",147,"Covaris_5"
3205,148,"HA",148,"Covaris_5"
3276,149,"HA",149,"Covaris_5"
3335,150,"HA",150,"Covaris_5"
3377,151,"HA",151,"Covaris_5"
3379,152,"HA",152,"Covaris_5"
3448,153,"HA",153,"Covaris_5"
3435,154,"HA",154,"Covaris_5"
3496,155,"HA",155,"Covaris_5"
3552,156,"HA",156,"Covaris_5"
3614,157,"HA",157,"Covaris_5"
3694,158,"HA",158,"Covaris_5"
3746,159,"HA",159,"Covaris_5"
3685,160,"HA",160,"Covaris_5"
3781,161,"HA",161,"Covaris_5"
3852,162,"HA",162,"Covaris_5"
3891,163,"HA",163,"Covaris_5"
3921,164,"HA",164,"Covaris_5"
4022,165,"HA",165,"Covaris_5"
4022,166,"HA",166,"Covaris_5"
4118,167,"HA",167,"Covaris_5"
4102,168,"HA",168,"Covaris_5"
4237,169,"HA",169,"Covaris_5"
4284,170,"HA",170,"Covaris_5"
4428,171,"HA",171,"Covaris_5"
4453,172,"HA",172,"Covaris_5"
4522,173,"HA",173,"Covaris_5"
4647,174,"HA",174,"Covaris_5"
4637,175,"HA",175,"Covaris_5"
4739,176,"HA",176,"Covaris_5"
4786,177,"HA",177,"Covaris_5"
4726,178,"HA",178,"Covaris_5"
4903,179,"HA",179,"Covaris_5"
4899,180,"HA",180,"Covaris_5"
4845,181,"HA",181,"Covaris_5"
5034,182,"HA",182,"Covaris_5"
5194,183,"HA",183,"Covaris_5"
5223,184,"HA",184,"Covaris_5"
5312,185,"HA",185,"Covaris_5"
5365,186,"HA",186,"Covaris_5"
5408,187,"HA",187,"Covaris_5"
5595,188,"HA",188,"Covaris_5"
5670,189,"HA",189,"Covaris_5"
5719,190,"HA",190,"Covaris_5"
5757,191,"HA",191,"Covaris_5"
5842,192,"HA",192,"Covaris_5"
5915,193,"HA",193,"Covaris_5"
5986,194,"HA",194,"Covaris_5"
6109,195,"HA",195,"Covaris_5"
6180,196,"HA",196,"Covaris_5"
6220,197,"HA",197,"Covaris_5"
6377,198,"HA",198,"Covaris_5"
6432,199,"HA",199,"Covaris_5"
6513,200,"HA",200,"Covaris_5"
6683,201,"HA",201,"Covaris_5"
6712,202,"HA",202,"Covaris_5"
6794,203,"HA",203,"Covaris_5"
6817,204,"HA",204,"Covaris_5"
6896,205,"HA",205,"Covaris_5"
7055,206,"HA",206,"Covaris_5"
7068,207,"HA",207,"Covaris_5"
7184,208,"HA",208,"Covaris_5"
7126,209,"HA",209,"Covaris_5"
7294,210,"HA",210,"Covaris_5"
7376,211,"HA",211,"Covaris_5"
7409,212,"HA",212,"Covaris_5"
7495,213,"HA",213,"Covaris_5"
7612,214,"HA",214,"Covaris_5"
7732,215,"HA",215,"Covaris_5"
7846,216,"HA",216,"Covaris_5"
7904,217,"HA",217,"Covaris_5"
